,algorithm,variant,warm_label,metric,count,mean,median,std,min,max
48,Solver ILP,pref_triadic,zimny start,time_s,434,1.5249336863548284,0.7107505650000121,2.483516010097998,0.05065682400004334,17.26737666600002
49,Solver ILP,pref_triadic,zimny start,total_cost,434,43.33396962280495,25.99999999999999,38.15143503214424,10.999999999999995,151.76340243030734
50,Solver ILP,pref_triadic,zimny start,cost_per_node,434,0.36152811410634705,0.3271341463414632,0.0702752584886006,0.255813953488372,0.5023274464338638
51,Solver ILP,rand_rewire,zimny start,time_s,496,2.5530087903084016,0.7820580480019999,4.943754457053952,0.04864000200177543,39.73588435300189
52,Solver ILP,rand_rewire,zimny start,total_cost,496,73.53017420277155,35.7230164403145,82.26567681577593,10.999999999999995,320.20729092208717
53,Solver ILP,rand_rewire,zimny start,cost_per_node,496,0.3897908961871963,0.362966929977239,0.07719530578615844,0.2682926829268292,0.5219248316698876
54,Wyżarzanie symulowane,pref_pref,ciepły start,time_s,930,1.0242723270408043,0.4605529315012973,1.0923426497520021,0.1036448439990636,4.130478011000378
55,Wyżarzanie symulowane,pref_pref,ciepły start,total_cost,930,114.9926668050143,70.99999999999997,113.10397295884016,12.999999999999995,458.80486061472476
56,Wyżarzanie symulowane,pref_pref,ciepły start,cost_per_node,930,0.46225009313244064,0.4534161490683228,0.13147442701675444,0.09999999999999996,0.7326749071636534
57,Wyżarzanie symulowane,pref_triadic,ciepły start,time_s,744,0.5547160992338718,0.3088963065001735,0.5258761127015233,0.09721025199996802,2.1239683879998665
58,Wyżarzanie symulowane,pref_triadic,ciepły start,total_cost,744,70.01941671086104,47.99999999999998,56.66220430652268,11.999999999999995,232.3173695496783
59,Wyżarzanie symulowane,pref_triadic,ciepły start,cost_per_node,744,0.45954069565220057,0.4499999999999998,0.11744972450782185,0.1656249999999999,0.710450671405744
60,Wyżarzanie symulowane,rand_rewire,ciepły start,time_s,930,1.0718379862558802,0.4748995289992308,1.1312877999122462,0.10058427300100448,4.397044082004868
61,Wyżarzanie symulowane,rand_rewire,ciepły start,total_cost,930,122.3002559431852,80.38170121515367,118.05632236907087,13.999999999999995,501.80486061472476
62,Wyżarzanie symulowane,rand_rewire,ciepły start,cost_per_node,930,0.4980778273385874,0.49843328549668425,0.13163964890755264,0.09999999999999996,0.765692829372897
63,Zbiór dominujący,pref_pref,zimny start,time_s,930,0.01587493860536802,0.003430683000260615,0.023629949474784903,0.0004790989987668581,0.09104832599950896
64,Zbiór dominujący,pref_pref,zimny start,total_cost,930,107.6210618952093,60.99999999999997,107.4220681558409,12.999999999999995,453.31522516082913
65,Zbiór dominujący,pref_pref,zimny start,cost_per_node,930,0.4512176350816935,0.4534161490683228,0.14967753190250868,0.09457364341085266,0.7420805802053732
66,Zbiór dominujący,pref_triadic,zimny start,time_s,744,0.004770998654565624,0.0020374244999743496,0.005589935824687925,0.0004807190000519767,0.019877777000033348
67,Zbiór dominujący,pref_triadic,zimny start,total_cost,744,66.66965843498043,44.99999999999998,53.012591738845686,12.999999999999995,225.40243030736238
68,Zbiór dominujący,pref_triadic,zimny start,cost_per_node,744,0.45741422438600265,0.4591194968553457,0.14218652215965275,0.14150943396226404,0.7643961714813716
69,Zbiór dominujący,rand_rewire,zimny start,time_s,930,0.01705506512899451,0.003247853001084877,0.026740493924029076,0.0004520110014709644,0.12599253599910298
70,Zbiór dominujący,rand_rewire,zimny start,total_cost,930,108.94509057929241,63.49999999999997,108.21350217925435,12.999999999999995,473.31522516082913
71,Zbiór dominujący,rand_rewire,zimny start,cost_per_node,930,0.4579887359340133,0.462759113652609,0.14750763507312264,0.10124610591900306,0.7679805303107662
