,license_config,algorithm,warm_label,metric,count,mean,std,min,max
42,duolingo_p_4,Wyżarzanie symulowane,ciepły start,time_s,144,0.5784053788201062,0.34079130813121933,0.1653923539997777,1.5874212760099908
43,duolingo_p_4,Wyżarzanie symulowane,ciepły start,total_cost,144,78.39583333333333,42.29007699080378,28.0,148.0
44,duolingo_p_4,Wyżarzanie symulowane,ciepły start,cost_per_node,144,0.823171522277991,0.06463234041597705,0.6829268292682927,0.9176470588235294
45,duolingo_p_4,Zbiór dominujący,zimny start,time_s,144,0.0036500538263781993,0.0038056595257076014,0.0005155809922143817,0.017134950001491234
46,duolingo_p_4,Zbiór dominujący,zimny start,total_cost,144,76.18055555555556,40.261497124897765,28.0,149.0
47,duolingo_p_4,Zbiór dominujący,zimny start,cost_per_node,144,0.809141506947107,0.0704181353676986,0.7,0.925925925925926
48,duolingo_p_5,Algorytm genetyczny,ciepły start,time_s,144,0.8793430766871906,0.46552944968826776,0.23396724100166463,2.13630702199589
49,duolingo_p_5,Algorytm genetyczny,ciepły start,total_cost,144,84.63888888888887,44.516770016958915,33.99999999999999,152.99999999999997
50,duolingo_p_5,Algorytm genetyczny,ciepły start,cost_per_node,144,0.8962185535647963,0.031242914667237352,0.8499999999999998,0.950310559006211
51,duolingo_p_5,Algorytm losowy,zimny start,time_s,144,0.0006583209723329572,0.0002046941506544978,0.0003316199872642755,0.0014498530072160063
52,duolingo_p_5,Algorytm losowy,zimny start,total_cost,144,134.06249999999997,69.00291052440585,45.99999999999999,260.99999999999994
53,duolingo_p_5,Algorytm losowy,zimny start,cost_per_node,144,1.4357917866239864,0.12150497799973843,1.121951219512195,1.7073170731707312
54,duolingo_p_5,Algorytm mrówkowy,ciepły start,time_s,144,3.828205242166607,3.3897617789267063,0.3994309350091498,13.24207444700005
55,duolingo_p_5,Algorytm mrówkowy,ciepły start,total_cost,144,86.8611111111111,45.8485819092855,34.99999999999999,155.99999999999997
56,duolingo_p_5,Algorytm mrówkowy,ciepły start,cost_per_node,144,0.9174282218867964,0.028655978152232732,0.8536585365853656,0.9629629629629626
57,duolingo_p_5,Algorytm zachłanny,zimny start,time_s,144,0.0008542234155457765,0.0009155946025745236,0.00037451500247698277,0.007814418990164995
58,duolingo_p_5,Algorytm zachłanny,zimny start,total_cost,144,86.72222222222221,45.31728771293098,35.99999999999999,155.99999999999997
59,duolingo_p_5,Algorytm zachłanny,zimny start,cost_per_node,144,0.9198970451960398,0.031038787629650184,0.8742138364779872,0.9753086419753084
60,duolingo_p_5,Przeszukiwanie tabu,ciepły start,time_s,144,1.6245066772918209,1.3660071104221716,0.0017666450003162026,5.267500804009615
61,duolingo_p_5,Przeszukiwanie tabu,ciepły start,total_cost,144,86.34027777777777,45.61884704282545,33.99999999999999,155.99999999999997
62,duolingo_p_5,Przeszukiwanie tabu,ciepły start,cost_per_node,144,0.9110599162847978,0.040065818986720604,0.8437499999999998,0.9638554216867468
63,duolingo_p_5,Solver ILP,zimny start,time_s,96,0.9895178290209211,0.9368339143490092,0.07718676699732896,4.270099493005546
64,duolingo_p_5,Solver ILP,zimny start,total_cost,96,66.08333333333333,38.694666208438285,33.99999999999999,145.99999999999997
65,duolingo_p_5,Solver ILP,zimny start,cost_per_node,96,0.8798625255170963,0.026763349898987272,0.8374999999999998,0.9176470588235291
66,duolingo_p_5,Wyżarzanie symulowane,ciepły start,time_s,144,0.5173941238674362,0.29392275632881765,0.16988597299496178,1.286632813003962
67,duolingo_p_5,Wyżarzanie symulowane,ciepły start,total_cost,144,88.4861111111111,46.48512599334262,34.99999999999999,157.99999999999997
68,duolingo_p_5,Wyżarzanie symulowane,ciepły start,cost_per_node,144,0.934744875031724,0.0324860085344783,0.8536585365853656,0.9761904761904759
69,duolingo_p_5,Zbiór dominujący,zimny start,time_s,144,0.004812096798155431,0.005138040288984453,0.0006008730124449357,0.020922180003253743
70,duolingo_p_5,Zbiór dominujący,zimny start,total_cost,144,86.06944444444443,44.87973872407177,34.99999999999999,155.99999999999997
71,duolingo_p_5,Zbiór dominujący,zimny start,cost_per_node,144,0.9134683146225984,0.034849435407199675,0.8687499999999998,0.9756097560975607
72,netflix,Algorytm genetyczny,ciepły start,time_s,144,0.48419506113891153,0.27486241522957233,0.1456705310047255,1.1486172009972506
73,netflix,Algorytm genetyczny,ciepły start,total_cost,144,59.002342736844085,31.322134303310072,22.68209474805295,121.75852002414159
74,netflix,Algorytm genetyczny,ciepły start,cost_per_node,144,0.6284384584823979,0.062203219646216924,0.5553230401047915,0.7609907501508849
