,source,algorithm,metric,count,mean,median,std,min,max
32,duolingo_p_2,Algorytm mrówkowy,cost_per_node,24,0.5054166666666667,0.4400000000000001,0.1111297387767096,0.3850000000000001,0.7500000000000002
33,duolingo_p_2,Algorytm zachłanny,time_s,24,0.0005925546665821457,0.00046519999887095764,0.00031434457590262944,0.0002480270050000399,0.001252419999218546
34,duolingo_p_2,Algorytm zachłanny,total_cost,24,50.08333333333334,41.00000000000001,38.16430914812456,8.000000000000002,136.00000000000003
35,duolingo_p_2,Algorytm zachłanny,cost_per_node,24,0.5587500000000002,0.5150000000000001,0.1146189338634765,0.40000000000000013,0.7500000000000002
36,duolingo_p_2,Przeszukiwanie tabu,time_s,24,1.3598072407506454,1.184187828501308,0.960078679976667,0.01290236500062747,3.7768085720017552
37,duolingo_p_2,Przeszukiwanie tabu,total_cost,24,46.25000000000001,33.50000000000001,38.67506780298152,8.000000000000002,136.00000000000003
38,duolingo_p_2,Przeszukiwanie tabu,cost_per_node,24,0.4922916666666668,0.4650000000000001,0.1196278574386515,0.36000000000000004,0.7500000000000002
39,duolingo_p_2,Solver ILP,time_s,16,0.9521858141870325,0.4536307554990344,1.1218934054444438,0.01803649299836252,3.7321125979942735
40,duolingo_p_2,Solver ILP,total_cost,16,28.625000000000007,20.000000000000004,23.798809494034224,8.000000000000002,84.00000000000001
41,duolingo_p_2,Solver ILP,cost_per_node,16,0.43593750000000014,0.40000000000000013,0.10800028935146427,0.3400000000000001,0.7500000000000002
42,duolingo_p_2,Wyżarzanie symulowane,time_s,24,0.32056772883333906,0.238031539000076,0.2321272104770209,0.079369893996045,0.889012734995049
43,duolingo_p_2,Wyżarzanie symulowane,total_cost,24,49.16666666666668,39.00000000000001,38.80460154993575,8.000000000000002,136.00000000000003
44,duolingo_p_2,Wyżarzanie symulowane,cost_per_node,24,0.5341666666666668,0.4900000000000001,0.1146418493534905,0.36000000000000004,0.7500000000000002
45,duolingo_p_2,Zbiór dominujący,time_s,24,0.002673965957304366,0.001331738501903601,0.0030732032437483115,0.0003247619970352389,0.011923310994461644
46,duolingo_p_2,Zbiór dominujący,total_cost,24,48.37500000000001,38.00000000000001,38.16646889386137,8.000000000000002,141.00000000000003
47,duolingo_p_2,Zbiór dominujący,cost_per_node,24,0.5435416666666667,0.5100000000000001,0.1279306806750086,0.3900000000000001,0.7500000000000002
48,duolingo_p_4,Algorytm genetyczny,time_s,24,0.578515375374991,0.4885778010029753,0.3973451831787068,0.12588711800344754,1.4071639830071945
49,duolingo_p_4,Algorytm genetyczny,total_cost,24,72.41666666666669,58.00000000000002,54.79282455931988,14.000000000000005,176.00000000000006
50,duolingo_p_4,Algorytm genetyczny,cost_per_node,24,0.7897916666666669,0.7600000000000002,0.07111654804472099,0.7000000000000002,0.9500000000000003
51,duolingo_p_4,Algorytm losowy,time_s,24,0.0009772845420836045,0.0006672234994766768,0.0011773507899852957,0.0004467139951884746,0.006304555005044676
52,duolingo_p_4,Algorytm losowy,total_cost,24,111.20833333333337,94.50000000000003,78.87192654615109,23.000000000000007,259.0000000000001
53,duolingo_p_4,Algorytm losowy,cost_per_node,24,1.245208333333334,1.2600000000000005,0.11982305039430896,1.0200000000000005,1.5200000000000005
54,duolingo_p_4,Algorytm mrówkowy,time_s,24,2.629575413917337,1.38336474800235,3.1396880424711053,0.14929792200564407,11.074854821999908
55,duolingo_p_4,Algorytm mrówkowy,total_cost,24,73.75000000000001,59.50000000000002,55.58248864056254,14.000000000000005,174.00000000000006
56,duolingo_p_4,Algorytm mrówkowy,cost_per_node,24,0.799791666666667,0.7975000000000003,0.06599537478303785,0.7000000000000002,0.9500000000000003
57,duolingo_p_4,Algorytm zachłanny,time_s,24,0.000623007917056384,0.00048733250150689855,0.0003156316930606929,0.0002604740002425387,0.0013598189980257305
58,duolingo_p_4,Algorytm zachłanny,total_cost,24,76.7916666666667,61.00000000000002,56.97671466917652,15.000000000000005,177.00000000000006
59,duolingo_p_4,Algorytm zachłanny,cost_per_node,24,0.8395833333333337,0.8425000000000002,0.06143070798922943,0.7400000000000002,0.9500000000000003
60,duolingo_p_4,Przeszukiwanie tabu,time_s,24,1.266734083749725,0.9606779269997789,1.1278787494376539,0.00169301699497737,4.450443695001013
61,duolingo_p_4,Przeszukiwanie tabu,total_cost,24,73.87500000000001,58.00000000000002,57.08141592040498,14.000000000000005,177.00000000000006
62,duolingo_p_4,Przeszukiwanie tabu,cost_per_node,24,0.7881250000000003,0.7825000000000002,0.08468371461939503,0.6800000000000003,0.9500000000000003
