run_id,algorithm,graph,n_nodes,n_edges,graph_params,license_config,rep,seed,sample,graph_seed,density,avg_degree,clustering,components,image_path,total_cost,time_ms,valid,issues,groups,group_size_mean,group_size_median,group_size_p90,license_counts_json,algo_params_json,warm_start,cost_per_node,notes
20250918_154325_extensions_benchmark,RandomizedAlgorithm,scale_free,20,36,"{'m': 2, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.1894736842105263,3.6,0.2195238095238095,1,,26.0,0.5243170016910881,True,0,14,1.4285714285714286,1.0,2.0,"{""Family"": 4, ""Individual"": 10}",{},False,1.3,
20250918_154325_extensions_benchmark,RandomizedAlgorithm,scale_free,50,96,"{'m': 2, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0783673469387755,3.84,0.2608806121414816,1,,67.0,0.5918379974900745,True,0,34,1.4705882352941178,1.0,2.0,"{""Individual"": 23, ""Family"": 11}",{},False,1.34,
20250918_154325_extensions_benchmark,RandomizedAlgorithm,scale_free,50,96,"{'m': 2, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0783673469387755,3.84,0.1844320124320124,1,,76.0,0.4706539984908886,True,0,31,1.6129032258064515,1.0,2.0,"{""Individual"": 16, ""Family"": 15}",{},False,1.52,
20250918_154325_extensions_benchmark,RandomizedAlgorithm,scale_free,100,196,"{'m': 2, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0395959595959595,3.92,0.1633878606773343,1,,140.0,6.304555005044676,True,0,71,1.408450704225352,1.0,2.0,"{""Individual"": 48, ""Family"": 23}",{},False,1.4,
20250918_154325_extensions_benchmark,RandomizedAlgorithm,scale_free,100,196,"{'m': 2, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0395959595959595,3.92,0.1103275874452345,1,,127.0,0.8395960030611604,True,0,70,1.4285714285714286,1.0,3.0,"{""Individual"": 51, ""Family"": 19}",{},False,1.27,
20250918_154325_extensions_benchmark,RandomizedAlgorithm,scale_free,200,396,"{'m': 2, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0198994974874371,3.96,0.1223573583279465,1,,259.0,0.6823880030424334,True,0,136,1.4705882352941178,1.0,2.0,"{""Individual"": 95, ""Family"": 41}",{},False,1.295,
20250918_154325_extensions_benchmark,RandomizedAlgorithm,scale_free,200,396,"{'m': 2, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0198994974874371,3.96,0.103976732429364,1,,244.0,1.0556470006122254,True,0,139,1.4388489208633093,1.0,2.0,"{""Individual"": 104, ""Family"": 35}",{},False,1.22,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,random,20,23,"{'p': 0.1, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.1210526315789473,2.3,0.0866666666666666,3,,18.0,0.377479002054315,True,0,15,1.3333333333333333,1.0,1.0,"{""Family"": 1, ""Individual"": 14}",{},False,0.9,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,random,20,17,"{'p': 0.1, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0894736842105263,1.7,0.0,4,,19.0,0.466547004180029,True,0,16,1.25,1.0,1.0,"{""Family"": 1, ""Individual"": 15}",{},False,0.95,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,random,50,120,"{'p': 0.1, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0979591836734693,4.8,0.0621904761904761,1,,42.0,1.1516890008351766,True,0,27,1.851851851851852,1.0,5.0,"{""Family"": 5, ""Individual"": 22}",{},False,0.84,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,random,50,117,"{'p': 0.1, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0955102040816326,4.68,0.0838528138528138,2,,41.0,1.2294070038478822,True,0,26,1.9230769230769231,1.0,6.0,"{""Family"": 5, ""Individual"": 21}",{},False,0.82,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,random,100,474,"{'p': 0.1, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0957575757575757,9.48,0.087823482073482,1,,75.0,3.276003000792116,True,0,36,2.7777777777777777,1.0,6.0,"{""Family"": 13, ""Individual"": 23}",{},False,0.75,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,random,100,448,"{'p': 0.1, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0905050505050505,8.96,0.1003813017048311,1,,78.0,3.117635002126917,True,0,42,2.380952380952381,1.0,6.0,"{""Family"": 12, ""Individual"": 30}",{},False,0.78,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,random,200,1963,"{'p': 0.1, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.098643216080402,19.63,0.1002832679199191,1,,146.0,8.313961996464059,True,0,62,3.225806451612903,1.0,6.0,"{""Family"": 28, ""Individual"": 34}",{},False,0.73,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,random,200,1923,"{'p': 0.1, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0966331658291457,19.23,0.0954730847614731,1,,146.0,7.546954999270383,True,0,62,3.225806451612903,1.0,6.0,"{""Family"": 28, ""Individual"": 34}",{},False,0.73,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,small_world,20,60,"{'k': 6, 'p': 0.05, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.3157894736842105,6.0,0.4769047619047619,1,,14.0,0.5160690052434802,True,0,5,4.0,6.0,6.0,"{""Family"": 3, ""Individual"": 2}",{},False,0.7,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,small_world,20,60,"{'k': 6, 'p': 0.05, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.3157894736842105,6.0,0.505,1,,16.0,0.5992660007905215,True,0,7,2.857142857142857,1.0,5.0,"{""Family"": 3, ""Individual"": 4}",{},False,0.8,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,small_world,50,150,"{'k': 6, 'p': 0.05, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.1224489795918367,6.0,0.5492380952380952,1,,37.0,1.1467840013210662,True,0,16,3.125,1.0,6.0,"{""Family"": 7, ""Individual"": 9}",{},False,0.74,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,small_world,50,150,"{'k': 6, 'p': 0.05, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.1224489795918367,6.0,0.5627619047619047,1,,36.0,1.0064810048788786,True,0,12,4.166666666666667,5.5,6.0,"{""Family"": 8, ""Individual"": 4}",{},False,0.72,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,small_world,100,300,"{'k': 6, 'p': 0.05, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0606060606060606,6.0,0.5448571428571429,1,,73.0,2.538448003178928,True,0,31,3.225806451612903,1.0,6.0,"{""Family"": 14, ""Individual"": 17}",{},False,0.73,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,small_world,100,300,"{'k': 6, 'p': 0.05, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0606060606060606,6.0,0.5299761904761905,1,,72.0,2.003467998292763,True,0,27,3.703703703703704,5.0,6.0,"{""Family"": 15, ""Individual"": 12}",{},False,0.72,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,small_world,200,600,"{'k': 6, 'p': 0.05, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0301507537688442,6.0,0.5332261904761905,1,,145.0,7.120850001228973,True,0,55,3.636363636363636,5.0,6.0,"{""Family"": 30, ""Individual"": 25}",{},False,0.725,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,small_world,200,600,"{'k': 6, 'p': 0.05, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0301507537688442,6.0,0.5270595238095238,1,,144.0,5.124058996443637,True,0,51,3.92156862745098,5.0,6.0,"{""Family"": 31, ""Individual"": 20}",{},False,0.72,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,scale_free,20,36,"{'m': 2, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.1894736842105263,3.6,0.4093894993894993,1,,16.0,0.3292109977337532,True,0,10,2.0,1.0,6.0,"{""Family"": 2, ""Individual"": 8}",{},False,0.8,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,scale_free,20,36,"{'m': 2, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.1894736842105263,3.6,0.2195238095238095,1,,18.0,0.6110510003054515,True,0,15,1.3333333333333333,1.0,1.0,"{""Family"": 1, ""Individual"": 14}",{},False,0.9,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,scale_free,50,96,"{'m': 2, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0783673469387755,3.84,0.2608806121414816,1,,44.0,0.6482290045823902,True,0,35,1.4285714285714286,1.0,1.0,"{""Family"": 3, ""Individual"": 32}",{},False,0.88,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,scale_free,50,96,"{'m': 2, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0783673469387755,3.84,0.1844320124320124,1,,46.0,0.679904995195102,True,0,40,1.25,1.0,1.0,"{""Family"": 2, ""Individual"": 38}",{},False,0.92,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,scale_free,100,196,"{'m': 2, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0395959595959595,3.92,0.1633878606773343,1,,92.0,2.0876779963145964,True,0,77,1.2987012987012987,1.0,1.0,"{""Family"": 5, ""Individual"": 72}",{},False,0.92,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,scale_free,100,196,"{'m': 2, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0395959595959595,3.92,0.1103275874452345,1,,87.0,2.6967239973600954,True,0,63,1.5873015873015872,1.0,5.0,"{""Family"": 8, ""Individual"": 55}",{},False,0.87,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,scale_free,200,396,"{'m': 2, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0198994974874371,3.96,0.1223573583279465,1,,180.0,7.148018004954793,True,0,144,1.3888888888888888,1.0,1.0,"{""Family"": 12, ""Individual"": 132}",{},False,0.9,
20250918_154325_extensions_benchmark,DominatingSetAlgorithm,scale_free,200,396,"{'m': 2, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0198994974874371,3.96,0.103976732429364,1,,175.0,6.011461999150924,True,0,136,1.4705882352941178,1.0,1.0,"{""Family"": 13, ""Individual"": 123}",{},False,0.875,
20250918_154325_extensions_benchmark,AntColonyOptimization,random,20,23,"{'p': 0.1, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.1210526315789473,2.3,0.0866666666666666,3,,17.0,270.7257950023632,True,0,11,1.818181818181818,1.0,5.0,"{""Family"": 2, ""Individual"": 9}","{""alpha"": 1.0, ""beta"": 2.0, ""evap"": 0.5, ""q0"": 0.9, ""num_ants"": 20, ""max_iter"": 100}",True,0.85,
20250918_154325_extensions_benchmark,AntColonyOptimization,random,20,17,"{'p': 0.1, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0894736842105263,1.7,0.0,4,,19.0,331.18190900131594,True,0,13,1.5384615384615383,1.0,1.0,"{""Family"": 2, ""Individual"": 11}","{""alpha"": 1.0, ""beta"": 2.0, ""evap"": 0.5, ""q0"": 0.9, ""num_ants"": 20, ""max_iter"": 100}",True,0.95,
20250918_154325_extensions_benchmark,AntColonyOptimization,random,50,120,"{'p': 0.1, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0979591836734693,4.8,0.0621904761904761,1,,40.0,655.9101660022861,True,0,22,2.272727272727273,1.0,6.0,"{""Family"": 6, ""Individual"": 16}","{""alpha"": 1.0, ""beta"": 2.0, ""evap"": 0.5, ""q0"": 0.9, ""num_ants"": 20, ""max_iter"": 100}",True,0.8,
20250918_154325_extensions_benchmark,AntColonyOptimization,random,50,117,"{'p': 0.1, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0955102040816326,4.68,0.0838528138528138,2,,40.0,821.6888279930572,True,0,22,2.272727272727273,1.0,6.0,"{""Family"": 6, ""Individual"": 16}","{""alpha"": 1.0, ""beta"": 2.0, ""evap"": 0.5, ""q0"": 0.9, ""num_ants"": 20, ""max_iter"": 100}",True,0.8,
20250918_154325_extensions_benchmark,AntColonyOptimization,random,100,474,"{'p': 0.1, 'seed': 42}",duolingo_p_4,0,12345,0,42,0.0957575757575757,9.48,0.087823482073482,1,,77.0,1842.365238997445,True,0,26,3.8461538461538463,5.0,6.0,"{""Family"": 17, ""Individual"": 9}","{""alpha"": 1.0, ""beta"": 2.0, ""evap"": 0.5, ""q0"": 0.9, ""num_ants"": 20, ""max_iter"": 100}",True,0.77,
20250918_154325_extensions_benchmark,AntColonyOptimization,random,100,448,"{'p': 0.1, 'seed': 1051}",duolingo_p_4,0,13345,1,1051,0.0905050505050505,8.96,0.1003813017048311,1,,75.0,1750.7491470023524,True,0,33,3.0303030303030303,1.0,6.0,"{""Family"": 14, ""Individual"": 19}","{""alpha"": 1.0, ""beta"": 2.0, ""evap"": 0.5, ""q0"": 0.9, ""num_ants"": 20, ""max_iter"": 100}",True,0.75,
