run_id,algorithm,graph,n_nodes,n_edges,graph_params,license_config,rep,seed,ego_id,density,avg_degree,clustering,components,total_cost,cost_per_node,time_ms,license_counts_json,algo_params_json,warm_start,valid,issues,groups,group_size_mean,group_size_median,group_size_p90,image_path,notes,step,mutation_params_json,mutations
20250910_205835_dynamic_real,ILPSolver,facebook_ego,54,205,"{""ego_id"": ""3980""}",duolingo_super,0,26345,3980,0.143256464011181,7.592592592592593,0.7022534378055534,1,290.51,5.379814814814814,17240.90170802083,"{""Family"": 9, ""Individual"": 2}",{},False,True,0,11,4.909090909090909,6.0,6.0,,,14,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
20250910_205835_dynamic_real,ILPSolver,facebook_ego,54,205,"{""ego_id"": ""3980""}",duolingo_super,0,27345,3980,0.143256464011181,7.592592592592593,0.7022534378055534,1,290.51,5.379814814814814,16556.23718595598,"{""Family"": 9, ""Individual"": 2}",{},False,True,0,11,4.909090909090909,6.0,6.0,,,15,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
20250910_205835_dynamic_real,ILPSolver,facebook_ego,55,206,"{""ego_id"": ""3980""}",duolingo_super,0,28345,3980,0.13872053872053872,7.490909090909091,0.6879424937572981,1,290.51,5.282,1439.3511550151743,"{""Family"": 9, ""Individual"": 2}",{},False,True,0,11,5.0,6.0,6.0,,,16,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",Added nodes: [4041]
20250910_205835_dynamic_real,ILPSolver,facebook_ego,55,207,"{""ego_id"": ""3980""}",duolingo_super,0,29345,3980,0.1393939393939394,7.527272727272727,0.685084632664143,1,290.51,5.282,924.0905739716254,"{""Family"": 9, ""Individual"": 2}",{},False,True,0,11,5.0,6.0,6.0,,,17,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",Added 1 edges
20250910_205835_dynamic_real,ILPSolver,facebook_ego,55,207,"{""ego_id"": ""3980""}",duolingo_super,0,30345,3980,0.1393939393939394,7.527272727272727,0.685084632664143,1,290.51,5.282,745.7672460004687,"{""Family"": 9, ""Individual"": 2}",{},False,True,0,11,5.0,6.0,6.0,,,18,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
20250910_205835_dynamic_real,ILPSolver,facebook_ego,55,207,"{""ego_id"": ""3980""}",duolingo_super,0,31345,3980,0.1393939393939394,7.527272727272727,0.6495822636122182,1,276.52000000000004,5.027636363636364,212.79419702477753,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.5,6.0,6.0,,,19,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",Added 3 edges; Removed 3 edges
20250910_205835_dynamic_real,ILPSolver,facebook_ego,55,207,"{""ego_id"": ""3980""}",duolingo_super,0,32345,3980,0.1393939393939394,7.527272727272727,0.6495822636122182,1,276.52000000000004,5.027636363636364,220.44262301642448,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.5,6.0,6.0,,,20,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
20250910_205835_dynamic_real,ILPSolver,facebook_ego,55,212,"{""ego_id"": ""3980""}",duolingo_super,0,33345,3980,0.14276094276094276,7.709090909090909,0.6244184659465106,1,276.52000000000004,5.027636363636364,1761.1305640311912,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.5,6.0,6.0,,,21,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",Added 5 edges
20250910_205835_dynamic_real,ILPSolver,facebook_ego,55,213,"{""ego_id"": ""3980""}",duolingo_super,0,34345,3980,0.14343434343434344,7.745454545454545,0.6159318936282869,1,276.52000000000004,5.027636363636364,1219.0532999811694,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.5,6.0,6.0,,,22,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",Added 2 edges; Removed 1 edges
20250910_205835_dynamic_real,ILPSolver,facebook_ego,55,213,"{""ego_id"": ""3980""}",duolingo_super,0,35345,3980,0.14343434343434344,7.745454545454545,0.6159318936282869,1,276.52000000000004,5.027636363636364,1100.0866999966092,"{""Family"": 9, ""Individual"": 1}",{},False,True,0,10,5.5,6.0,6.0,,,23,"{""add_nodes_prob"": 0.05, ""remove_nodes_prob"": 0.03, ""add_edges_prob"": 0.15, ""remove_edges_prob"": 0.1, ""max_nodes_add"": 1, ""max_nodes_remove"": 1, ""max_edges_add"": 5, ""max_edges_remove"": 3}",
